都道府県,施設名,住所,place_id
東京,スターバックスコーヒー ルミネ荻窪店,日本、〒167-0043 東京都杉並区上荻１丁目７−１ ルミネ荻窪店,ChIJ9UEJWvftGGARdmL_MRjzr-8
東京,スターバックスコーヒー ルミネ新宿店,日本、〒160-0023 東京都新宿区西新宿１丁目１−５ ルミネ新宿 １,ChIJ0-RN-NCMGGARxTfBPUgLP4s
東京,スターバックスコーヒー ルミネ池袋2階店,日本、〒171-0021 東京都豊島区西池袋１丁目１１−１,ChIJfxu0EF2NGGAR0-80b2fGi3w
東京,スターバックスコーヒー 愛宕グリーンヒルズ店,日本、〒105-6290 東京都港区愛宕２丁目５−１ ＭＯＲＩ タワー（愛宕グリーンヒルズ,ChIJQf6CvpWLGGARwJZ4I5h2zKE
東京,スターバックスコーヒー 芦花公園店,日本、〒157-0062 東京都世田谷区南烏山１丁目２−１７,ChIJ62YjHinyGGARkS_qJeJlwn0
東京,スターバックスコーヒー 芦花公園店,日本、〒157-0062 東京都世田谷区南烏山１丁目２−１７,ChIJ62YjHinyGGARkS_qJeJlwn0
東京,スターバックスコーヒー 羽田空港第2ターミナル国際線ゲートエリア店,日本、〒144-0041 東京都大田区羽田空港３丁目４−２ 羽田空港 第2旅客ターミナル,ChIJ3WmD-7ZjGGARoIe6jv0xcSk
東京,スターバックスコーヒー 奥沢2丁目店,日本、〒158-0083 東京都世田谷区奥沢２丁目３８−９,ChIJicr8_9T1GGARm5dbg6ubjoI
東京,スターバックスコーヒー 奥沢2丁目店,日本、〒158-0083 東京都世田谷区奥沢２丁目３８−９,ChIJicr8_9T1GGARm5dbg6ubjoI
東京,スターバックスコーヒー 荻窪タウンセブン店,日本、〒167-0043 東京都杉並区上荻１丁目９−１ 荻窪タウンセブン６F,ChIJzTN0-rTtGGARwt5VyfUYCPI
東京,スターバックスコーヒー 下北沢店,日本、〒155-0031 東京都世田谷区北沢２丁目３０−６ ＵＣビル １F 下北沢,ChIJQcIdEmvzGGARsa-vJDQ8PSQ
東京,スターバックスコーヒー 学芸大駅前店,日本、〒152-0004 東京都目黒区鷹番３丁目１５−２５ 鳥芳ビル １F,ChIJN3AAw870GGAR3oKR0Oc3ZWg
東京,スターバックスコーヒー 葛西駅南口店,日本、〒134-0084 東京都江戸川区東葛西６丁目２ 1RECS東葛西 2階,ChIJXQziNQCHGGARn3Cbr2JdN5s
東京,スターバックスコーヒー 葛西臨海公園駅店,日本、〒134-0086 東京都江戸川区臨海町６丁目３−４ 葛西臨海公園駅高架下ビル,ChIJ6_fCHZp9GGARoh57foIGxtU
東京,スターバックスコーヒー 茅場町店,日本、〒103-0025 東京都中央区日本橋茅場町１丁目１２−２ 樋口本店ビル 1F,ChIJM1pRCluJGGARiLLHYmCmr5k
東京,スターバックスコーヒー 丸の内オアゾ店,日本、〒100-0005 東京都千代田区丸の内１丁目６−４ OAZO,ChIJWykzpmaLGGARTpSDny2pdQY
東京,スターバックスコーヒー 京王笹塚店,日本、〒151-0073 東京都渋谷区笹塚１丁目５６−１８ 京王クラウン街,ChIJTXDZYofzGGARBxegrHUqruw
東京,スターバックスコーヒー 玉川高島屋Ｓ・Ｃ店,日本、〒158-8502 東京都世田谷区玉川３丁目１７−１ 南館 ７階 玉川高島屋Ｓ・Ｃ,ChIJ8zGasBX0GGARhO8V7nNiXXI
東京,スターバックスコーヒー 錦糸町 丸井店,日本、〒130-0022 東京都墨田区江東橋３丁目９−１０ 錦糸町マルイ,ChIJeYCV9SeJGGARyaWIgayKOXE
東京,スターバックスコーヒー 錦糸町 丸井店,日本、〒130-0022 東京都墨田区江東橋３丁目９−１０ 錦糸町マルイ,ChIJeYCV9SeJGGARyaWIgayKOXE
東京,スターバックスコーヒー 錦糸町オリナス店,日本、〒130-0012 東京都墨田区太平４丁目１−２ オリナス,ChIJOVRovkWBGGARqNqD2BYQamM
東京,スターバックスコーヒー 錦糸町パルコ店,日本、〒130-0022 東京都墨田区江東橋４丁目２７−１４ 楽天地ビル,ChIJNyNwhDaJGGARn6t5bVC3Ykk
東京,スターバックスコーヒー 銀座 蔦屋書店,日本、〒104-0061 東京都中央区銀座６丁目１０−１ GINZA SIX 6階,ChIJI_clUuaLGGAR1gpcPJMS450
