都道府県,施設名,住所,place_id
東京,品川区立南大井図書館,日本、〒140-0013 東京都品川区南大井３丁目７−１３,ChIJA88fi9JhGGAR6JHuJUwXZxM
東京,品川区立大井図書館,日本、〒140-0014 東京都品川区大井５丁目１９−１４,ChIJb8zc0YGKGGARIprzpx5EAkU
東京,品川区立大崎図書館,日本、〒141-0001 東京都品川区北品川５丁目２−１ 2階,ChIJWYxM6POKGGARV2emSdQ3ako
東京,品川区立五反田図書館,日本、〒141-0031 東京都品川区西五反田６丁目５−１ 五反田文化センタ 2階,ChIJPXMKgOaKGGARbhYXuPCFay8
東京,品川区立大崎図書館分館,日本、〒141-0032 東京都品川区大崎３丁目１２−２２,ChIJV-gr3DqLGGARSecvUDWPETM
東京,大田区立蒲田駅前図書館,日本、〒144-0052 東京都大田区蒲田５丁目１３−２６,ChIJi3WCoV5gGGARR2vmmTe9nQo
東京,大田区立洗足池図書館,日本、〒145-0063 東京都大田区南千束２丁目２−１０,ChIJ7ZM0WrWKGGARbf7GwpfLVxg
東京,大田区立大田図書館,日本、〒145-0076 東京都大田区田園調布南２５−１,ChIJz5Oo8Fv1GGARJ3Rnz0KzMB4
東京,大田区立多摩川図書館,日本、〒146-0095 東京都大田区多摩川２丁目２４−６３,ChIJ36wqx2RgGGARhpqmuyWh6o8
東京,渋谷区立中央図書館,日本、〒150-0001 東京都渋谷区神宮前１丁目４−１,ChIJWQfWYLuMGGARyy49d7EvsIo
東京,渋谷区立中央図書館,日本、〒150-0001 東京都渋谷区神宮前１丁目４−１,ChIJWQfWYLuMGGARyy49d7EvsIo
東京,渋谷図書館入口,日本、〒150-0011 東京都渋谷区東２丁目５,ChIJ2zaIQV2LGGAR1LfLh7kYKKk
東京,渋谷区立臨川みんなの図書館,日本、〒150-0012 東京都渋谷区広尾１丁目９−１７,ChIJF-rknWyLGGARhF-7E4FFcqE
東京,渋谷区立こもれび大和田図書館,日本、〒150-0031 東京都渋谷区桜丘町２３−２１,ChIJcYeWN1eLGGAR-Ws9aovfPss
